dataset,repeat,fold,split,seed,train_size,test_size,test_acc,test_bacc,test_macro_f1,n_rules,enh_depth,enh_total_nodes,enh_time,fold_total_time
TEXTURE,2,4,9,2034,4400,1100,0.98,0.98,0.979886807,60,18,69,2.770068004,3.147495749
TEXTURE,2,5,10,2035,4400,1100,0.979090909,0.979090909,0.979028656,60,0,0,0.150178974,0.302465198
TEXTURE,3,1,11,2036,4400,1100,0.983636364,0.983636364,0.98360255,60,16,111,3.387897681,3.871840525
TEXTURE,3,2,12,2037,4400,1100,0.976363636,0.976363636,0.976434969,60,9,9,2.108490781,2.292199685
TEXTURE,3,3,13,2038,4400,1100,0.993636364,0.993636364,0.993635795,60,19,164,3.873090222,4.492888869
TEXTURE,3,4,14,2039,4400,1100,0.969090909,0.969090909,0.969023121,60,10,10,2.129765256,2.313970543
TEXTURE,3,5,15,2040,4400,1100,0.982727273,0.982727273,0.982686998,60,19,73,2.734993474,3.108430057
TEXTURE,4,1,16,2041,4400,1100,0.980909091,0.980909091,0.980811121,60,14,14,2.209779018,2.408097431
TEXTURE,4,2,17,2042,4400,1100,0.983636364,0.983636364,0.983626702,60,17,65,2.728199447,3.092478647
TEXTURE,4,3,18,2043,4400,1100,0.980909091,0.980909091,0.980951707,60,19,142,3.534346893,4.073731004
TEXTURE,4,4,19,2044,4400,1100,0.981818182,0.981818182,0.981816626,60,17,118,3.409012368,3.890489994
TEXTURE,4,5,20,2045,4400,1100,0.980909091,0.980909091,0.980976379,60,18,68,2.723457719,3.085493529
TEXTURE,5,1,21,2046,4400,1100,0.984545455,0.984545455,0.9846235,60,20,133,3.303104268,3.855785288
TEXTURE,5,2,22,2047,4400,1100,0.984545455,0.984545455,0.984493855,60,5,5,2.232719463,2.403055713
TEXTURE,5,3,23,2048,4400,1100,0.980909091,0.980909091,0.980669878,60,13,13,2.113921019,2.310999149
TEXTURE,5,4,24,2049,4400,1100,0.972727273,0.972727273,0.97266744,60,17,17,2.121843559,2.335147023
TEXTURE,5,5,25,2050,4400,1100,0.972727273,0.972727273,0.972631576,60,15,15,2.09264326,2.289614835
